
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  8   3  89   0   0   0|   0  5461B|  79k 1165k|   0     0 | 596  1462 |0.20 0.11 0.17| 191M 45.2M  191M 3002M
  1   1  96   0   0   1|   0  2731B| 138k 2054k|   0     0 | 931  2192 |0.18 0.11 0.17| 191M 45.2M  191M 3002M
  1   1  97   0   0   1|   0  3413B| 138k 2056k|   0     0 | 898  2230 |0.17 0.11 0.17| 191M 45.2M  191M 3002M
  1   1  98   0   0   1|   0  2731B| 136k 2048k|   0     0 | 912  2129 |0.16 0.11 0.17| 191M 45.2M  191M 3002M
  1   1  97   0   0   1|   0    10k| 138k 2060k|   0     0 | 906  2059 |0.14 0.11 0.17| 192M 45.3M  191M 3002M
  1   1  97   0   0   1|   0  4096B| 138k 2055k|   0     0 | 895  2113 |0.13 0.10 0.17| 192M 45.3M  191M 3002M
  1   2  96   0   0   1|   0  6827B| 142k 2112k|   0     0 | 937  2297 |0.11 0.10 0.17| 192M 45.3M  191M 3002M
  1   1  97   0   0   1|   0  2731B| 138k 2052k|   0     0 | 889  1976 |0.10 0.10 0.17| 191M 45.3M  191M 3002M
  1   1  97   0   0   1|   0  4096B| 134k 2021k|   0     0 | 864  1942 |0.09 0.10 0.17| 192M 45.3M  191M 3002M
  1   1  97   0   0   1|   0  7509B| 138k 2052k|   0     0 | 785  2058 |0.09 0.09 0.16| 192M 45.3M  191M 3002M
  1   1  97   0   0   1|   0  2731B| 100k 1478k|   0     0 | 679  1422 |0.08 0.09 0.16| 189M 45.3M  191M 3004M
  0   0  99   0   0   0|   0  5461B|2454B 1189B|   0     0 |  27    52 |0.07 0.09 0.16| 190M 45.3M  191M 3003M
  8   2  90   0   0   0|   0  4779B|  13k 2407B|   0     0 |  60   214 |0.06 0.09 0.16| 192M 45.3M  191M 3002M
  1   1  97   0   0   1|   0  5461B|1964k  147k|   0     0 | 779  1915 |0.06 0.08 0.16| 192M 45.3M  191M 3001M
  1   1  97   0   0   1|   0  3413B|2024k  152k|   0     0 | 689  2062 |0.05 0.08 0.16| 192M 45.3M  191M 3002M
  1   1  96   0   0   1|   0  7509B|2061k  155k|   0     0 | 603  2196 |0.05 0.08 0.16| 192M 45.3M  191M 3001M
  1   1  74  24   0   1|   0  3413B|2076k  156k|   0     0 | 746  2061 |0.12 0.10 0.16| 192M 45.3M  191M 3001M
