
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|   0  2048B| 556k  586k|   0     0 |1076  2633 |0.10 0.21 0.36| 353M 42.2M  430M 12.9G
  0   0  99   0   0   0|   0  2048B| 549k  579k|   0     0 |1048  2551 |0.09 0.20 0.36| 355M 42.2M  430M 12.9G
  0   0  99   0   0   0|   0  5461B| 556k  586k|   0     0 |1046  2611 |0.08 0.20 0.35| 355M 42.2M  430M 12.9G
  9   2  90   0   0   0|   0   139k|  26k   27k|   0     0 | 370  1051 |1.04 0.39 0.42| 254M 42.2M  431M 13.0G

------------------------------------------------------------------------
#client=4 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  97   0   0   0|  17k   36k|   0     0 |   0     0 |5198  8944 |1.11 0.42 0.43| 272M 42.2M  431M 13.0G
  2   0  98   0   0   0|   0   140k| 829B  778B|   0     0 | 103   327 |0.94 0.40 0.42| 271M 42.2M  431M 13.0G
  2   1  97   0   0   0|   0  9557B|1937k 1936k|   0     0 |3965  7357 |0.87 0.40 0.42| 297M 42.2M  431M 12.9G
  1   1  98   0   0   0|   0  2048B|2168k 2169k|   0     0 |4631  7737 |0.80 0.39 0.42| 316M 42.2M  431M 12.9G
  1   1  98   0   0   0|   0  2048B|2217k 2217k|   0     0 |4795  7962 |0.73 0.38 0.41| 316M 42.2M  431M 12.9G
