
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   2  91   0   0   5|   0  2048B| 187k 1781k|   0     0 |  18  2957 |0.11 0.11 0.09| 191M 19.5M  129M 1326M
  1   2  94   1   0   2|   0  2048B| 182k 1819k|   0     0 |  18  2971 |0.09 0.11 0.09| 191M 19.5M  129M 1326M
  1   2  94   0   0   2|   0  2048B| 182k 1812k|   0     0 |  18  3011 |0.08 0.10 0.09| 191M 19.5M  129M 1326M
  1   2  93   1   0   3|   0  2048B| 183k 1843k|   0     0 |  18  3037 |0.08 0.10 0.09| 191M 19.5M  129M 1326M
  1   2  95   1   0   2|   0  2731B| 174k 1884k|   0     0 |  18  3042 |0.07 0.10 0.09| 191M 19.5M  129M 1326M
  0   0  99   1   0   0|   0  2048B|  15k  102k|   0     0 |  18   195 |0.07 0.10 0.09| 191M 19.5M  129M 1326M
 13   3  85   0   0   0|   0  2731B|3072B 1457B|   0     0 |  18   153 |0.14 0.11 0.09| 197M 19.5M  129M 1320M

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   2  94   2   0   0|  39k  185k|   0     0 |   0     0 |  19  2800 |0.11 0.11 0.09| 192M 19.6M  129M 1325M
  0   0  99   1   0   0|   0  2731B|1220B  498B|   0     0 |  18    33 |0.10 0.11 0.09| 192M 19.6M  129M 1325M
