
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   1  97   0   0   0|   0  5461B| 954k   72k|   0     0 | 811  1948 |0.06 0.09 0.06| 189M 20.6M  290M 2930M
  0   0  99   0   0   0|   0  6144B|2405B  974B|   0     0 |  23    43 |0.13 0.11 0.06| 191M 20.6M  290M 2928M

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   1  96   1   0   0|  77k  296k|   0     0 |   0     0 | 138   554 |0.12 0.11 0.06| 189M 20.6M  290M 2931M
  0   0  99   0   0   0|   0  2731B|2487B 1059B|   0     0 |  23    40 |0.11 0.10 0.06| 189M 20.6M  290M 2931M
  0   0  99   0   0   0|   0  4779B|2466B 1008B|   0     0 |  25    55 |0.10 0.10 0.06| 188M 20.6M  290M 2931M
 14   5  81   0   0   0|   0  2731B|  13k  152k|   0     0 | 146   594 |0.08 0.10 0.06| 193M 20.6M  290M 2926M
  2   2  95   0   0   1|   0  8192B| 109k 1626k|   0     0 |1066  3434 |0.08 0.10 0.06| 193M 20.6M  290M 2926M
  2   2  96   0   0   1|   0  3413B| 120k 1783k|   0     0 |1266  3615 |0.07 0.09 0.06| 193M 20.6M  290M 2926M
  2   2  95   0   0   1|   0  2731B| 115k 1714k|   0     0 |1111  3568 |0.06 0.09 0.06| 195M 20.6M  290M 2924M
  1   2  95   0   0   1|   0  4096B| 115k 1709k|   0     0 | 925  3579 |0.14 0.11 0.06| 195M 20.6M  290M 2924M
  1   2  95   0   0   1|   0    12k| 110k 1656k|   0     0 |1088  3460 |0.19 0.12 0.07| 193M 20.6M  290M 2926M
  1   2  95   0   0   2|   0  8192B| 116k 1721k|   0     0 | 511  3589 |0.18 0.12 0.07| 193M 20.7M  290M 2926M
  2   2  95   0   0   2|   0  2731B| 116k 1727k|   0     0 | 881  3639 |0.16 0.12 0.07| 196M 20.7M  290M 2924M
  2   2  95   0   0   2|   0  2731B| 120k 1782k|   0     0 | 961  3696 |0.15 0.11 0.07| 193M 20.7M  290M 2926M
  1   2  95   0   0   2|   0  2731B| 119k 1766k|   0     0 | 846  3699 |0.14 0.11 0.07| 194M 20.7M  290M 2926M
  1   1  96   0   0   1|   0  5461B| 101k 1508k|   0     0 | 964  3191 |0.12 0.11 0.07| 190M 20.7M  290M 2930M
  0   0  99   0   0   0|   0  8875B|2415B  983B|   0     0 |  27    49 |0.11 0.11 0.07| 190M 20.7M  290M 2930M
  0   0  99   0   0   0|   0  4096B|2405B  974B|   0     0 |  21    37 |0.10 0.10 0.07| 189M 20.7M  290M 2930M
  0   0  99   1   0   0|   0  2048B|2425B  984B|   0     0 |  24    40 |0.09 0.10 0.06| 189M 20.7M  290M 2930M
 15   7  78   0   0   0|   0  5461B| 695k   54k|   0     0 | 375  1775 |0.32 0.15 0.08| 194M 20.7M  290M 2926M
  1   1  97   0   0   1|   0  2731B|1668k  125k|   0     0 | 889  3602 |0.35 0.16 0.09| 194M 20.7M  290M 2926M
  2   1  96   0   0   1|   0  4096B|1723k  129k|   0     0 | 495  3679 |0.32 0.16 0.09| 193M 20.7M  290M 2926M
  1   1  96   0   0   1|   0  2731B|1712k  129k|   0     0 |  88  3653 |0.29 0.16 0.08| 193M 20.7M  290M 2926M
  1   1  96   0   0   1|   0  6827B|1646k  124k|   0     0 |  72  3527 |0.27 0.15 0.08| 193M 20.8M  290M 2926M
  1   1  97   0   0   1|   0  5461B|1503k  113k|   0     0 |  76  3287 |0.25 0.15 0.08| 194M 20.8M  290M 2925M
