
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  99   0   0   0|   0  2731B|1081k 1080k|   0     0 |2208  4420 |0.13 0.18 0.16| 316M 20.1M  306M 13.1G
  0   1  99   0   0   0|   0  2048B|1081k 1081k|   0     0 |2105  4349 |0.12 0.18 0.16| 327M 20.1M  306M 13.1G
  6   1  92   0   0   0|   0    36k|  86k   86k|   0     0 | 434  1187 |0.19 0.19 0.17| 234M 20.1M  306M 13.1G

------------------------------------------------------------------------
#client=4 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  98   1   0   0| 237k  200k|   0     0 |   0     0 | 494  1129 |0.16 0.18 0.16| 265M 20.1M  306M 13.1G
  2   0  98   0   0   0|   0    28k|2615B 1394B|   0     0 |  87   278 |0.15 0.18 0.16| 266M 20.1M  306M 13.1G
  1   0  99   0   0   0|   0  4096B| 193k  194k|   0     0 | 508  1086 |0.14 0.18 0.16| 283M 20.1M  306M 13.1G
  1   1  98   0   0   0|   0  2048B| 931k  932k|   0     0 |2257  3947 |0.12 0.17 0.16| 286M 20.1M  306M 13.1G
  0   1  99   0   0   0|   0    10k| 958k  958k|   0     0 |2115  4012 |0.11 0.17 0.16| 287M 20.1M  306M 13.1G
  0   1  99   0   0   0| 683B   34k| 931k  930k|   0     0 |1899  3824 |0.10 0.16 0.16| 289M 20.2M  306M 13.1G
  1   1  99   0   0   0|   0  2731B|1035k 1036k|   0     0 |2177  4370 |0.09 0.16 0.16| 307M 20.2M  306M 13.1G
  0   1  99   0   0   0|   0    10k|1088k 1089k|   0     0 |2600  4513 |0.16 0.18 0.16| 307M 20.2M  306M 13.1G
  0   1  99   0   0   0|   0  2731B|1074k 1075k|   0     0 |2506  4326 |0.14 0.17 0.16| 307M 20.2M  306M 13.1G
  0   0  99   0   0   0|   0  2048B|1085k 1084k|   0     0 |2444  4313 |0.13 0.17 0.16| 319M 20.2M  306M 13.1G
  0   1  99   0   0   0|   0  6144B|1074k 1075k|   0     0 |2367  4267 |0.12 0.16 0.16| 319M 20.2M  306M 13.1G
  0   1  99   0   0   0|   0  2048B|1082k 1082k|   0     0 |2406  4378 |0.11 0.16 0.16| 335M 20.2M  306M 13.0G
  0   1  99   0   0   0|   0  2731B|1079k 1079k|   0     0 |2412  4322 |0.10 0.16 0.16| 343M 20.2M  306M 13.0G
  7   1  92   0   0   0|   0    55k| 116k  116k|   0     0 | 541  1341 |0.16 0.17 0.16| 231M 20.2M  306M 13.1G
 10   2  88   0   0   0|   0   106k|4775B 3939B|   0     0 | 461  1258 |0.23 0.18 0.17| 264M 20.2M  306M 13.1G
  1   0  99   0   0   0|   0  4096B| 288k  289k|   0     0 | 808  1445 |0.21 0.18 0.16| 282M 20.2M  306M 13.1G
  1   1  98   0   0   0|   0    18k|1082k 1083k|   0     0 |2578  4553 |0.19 0.18 0.16| 284M 20.2M  306M 13.1G
  1   1  99   0   0   0|   0    11k|1096k 1096k|   0     0 |2596  4487 |0.18 0.17 0.16| 288M 20.2M  306M 13.1G
  0   1  99   0   0   0|   0  2731B|1107k 1106k|   0     0 |2543  4422 |0.24 0.19 0.17| 289M 20.3M  306M 13.1G
  0   1  99   0   0   0|   0  2048B|1105k 1106k|   0     0 |2595  4553 |0.21 0.18 0.17| 288M 20.3M  306M 13.1G
  0   1  99   0   0   0|   0  2731B|1096k 1096k|   0     0 |2537  4488 |0.27 0.19 0.17| 290M 20.3M  306M 13.1G
  0   1  99   0   0   0|   0  2048B|1116k 1116k|   0     0 |2660  4598 |0.25 0.19 0.17| 293M 20.3M  306M 13.1G
  0   1  99   0   0   0|   0  6144B|1101k 1100k|   0     0 |2747  4545 |0.31 0.20 0.17| 307M 20.3M  306M 13.1G
  0   1  99   0   0   0|   0  3413B|1108k 1108k|   0     0 |2394  4561 |0.28 0.20 0.17| 309M 20.3M  306M 13.1G
  1   1  99   0   0   0|   0  2731B|1093k 1093k|   0     0 |2220  4708 |0.31 0.21 0.18| 331M 20.3M  306M 13.1G
  0   1  99   0   0   0|   0  2731B|1089k 1089k|   0     0 |2461  4495 |0.29 0.21 0.18| 331M 20.3M  306M 13.1G
  7   1  91   0   0   0|   0    51k|  65k   64k|   0     0 | 397  1087 |0.43 0.24 0.19| 246M 20.3M  307M 13.1G

------------------------------------------------------------------------
#client=4 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   0  98   1   0   0| 212k  181k|   0     0 |   0     0 | 643  1381 |0.55 0.27 0.20| 268M 20.3M  307M 13.1G
  2   0  98   0   0   0|   0  3413B| 606B  449B|   0     0 |  70   231 |0.63 0.29 0.20| 272M 20.3M  307M 13.1G
  1   0  99   0   0   0|   0  7509B| 235k  239k|   0     0 | 663  1294 |0.58 0.29 0.20| 307M 20.3M  307M 13.1G
  1   1  98   0   0   0|   0  2048B|1065k 1073k|   0     0 |2584  4533 |0.53 0.28 0.20| 308M 20.4M  307M 13.1G
  0   1  99   0   0   0|   0    44k|1081k 1087k|   0     0 |2243  4556 |0.49 0.28 0.20| 309M 20.4M  307M 13.1G
