
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  0   0  99   0   0   0|   0    11k|3175B 1687B|   0     0 |  29    54 |0.16 0.21 0.20| 184M 19.9M  131M 3095M
 15   5  79   0   0   0|   0  7509B| 330k   26k|   0     0 | 300  1152 |0.15 0.21 0.20| 186M 19.9M  131M 3093M
  1   1  98   0   0   1|   0  2731B| 500k   38k|   0     0 | 314  1365 |0.13 0.20 0.20| 186M 19.9M  131M 3093M
  0   0  99   0   0   0|   0  2731B| 492k   38k|   0     0 | 305  1335 |0.12 0.20 0.19| 186M 20.0M  131M 3093M
  1   0  98   0   0   1|   0  2731B| 506k   39k|   0     0 | 298  1381 |0.10 0.19 0.19| 186M 20.0M  131M 3093M
  1   1  98   0   0   1|   0  2731B| 490k   37k|   0     0 | 333  1352 |0.10 0.19 0.19| 186M 20.0M  131M 3092M
  0   1  98   0   0   0|   0    19k| 509k   38k|   0     0 | 376  1389 |0.09 0.19 0.19| 186M 20.0M  131M 3093M
  1   0  99   0   0   0|   0  8875B| 510k   39k|   0     0 | 366  1397 |0.08 0.18 0.19| 186M 20.0M  131M 3093M
  1   1  98   0   0   0|   0  2731B| 510k   39k|   0     0 | 351  1406 |0.07 0.18 0.19| 186M 20.0M  131M 3093M
  1   1  98   0   0   1|   0  2731B| 513k   39k|   0     0 | 291  1399 |0.06 0.17 0.18| 186M 20.0M  131M 3093M
  1   1  98   0   0   0|   0  2731B| 508k   39k|   0     0 | 330  1387 |0.06 0.17 0.18| 186M 20.0M  131M 3093M
  1   1  98   0   0   0|   0  5461B| 328k   25k|   0     0 | 230   992 |0.05 0.17 0.18| 181M 20.0M  131M 3097M
 13   3  84   0   0   0|   0  7509B|3632B 1888B|   0     0 |  55   220 |0.05 0.16 0.18| 248M 20.0M  131M 3030M

------------------------------------------------------------------------
#client=1 #workers=64 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  92   4   0   0| 155k 1044k|   0     0 |   0     0 | 105   588 |0.12 0.18 0.18| 181M 20.0M  131M 3097M
  0   0 100   0   0   0|   0  2731B|2501B 1035B|   0     0 |  22    50 |0.11 0.17 0.18| 181M 20.0M  131M 3097M
 13   4  82   0   0   0|   0  2731B|2446B 1413B|   0     0 |  58   227 |0.10 0.17 0.18| 192M 20.1M  131M 3086M
  1   1  97   0   0   1|   0  4779B|  34k  476k|   0     0 | 310  1386 |0.10 0.17 0.18| 185M 20.1M  131M 3093M
  0   1  98   0   0   0|   0  2731B|  35k  499k|   0     0 | 323  1402 |0.08 0.16 0.18| 185M 20.1M  131M 3093M
  1   1  98   0   0   1|   0  4779B|  34k  493k|   0     0 | 290  1386 |0.07 0.16 0.18| 186M 20.1M  131M 3093M
  0   0  98   0   0   1|   0    11k|  36k  507k|   0     0 | 363  1386 |0.07 0.16 0.18| 185M 20.1M  131M 3093M
  1   1  98   0   0   1|   0  2731B|  35k  502k|   0     0 | 294  1361 |0.06 0.15 0.18| 186M 20.1M  131M 3093M
  1   1  98   1   0   0|   0    10k|  36k  506k|   0     0 | 299  1375 |0.06 0.15 0.17| 185M 20.1M  131M 3093M
  1   1  98   0   0   0|   0  2731B|  37k  520k|   0     0 | 268  1402 |0.13 0.16 0.18| 186M 20.1M  131M 3093M
  0   1  98   0   0   1|   0  2731B|  35k  508k|   0     0 | 188  1385 |0.12 0.16 0.18| 185M 20.1M  131M 3093M
  0   1  98   0   0   1|   0  2731B|  37k  520k|   0     0 | 281  1409 |0.11 0.16 0.18| 186M 20.1M  131M 3093M
  1   0  98   0   0   1|   0  4096B|  36k  516k|   0     0 | 256  1413 |0.10 0.15 0.18| 186M 20.1M  131M 3093M
  0   1  99   0   0   0|   0  4779B|  15k  184k|   0     0 | 111   619 |0.09 0.15 0.17| 181M 20.1M  131M 3097M
  0   0  99   1   0   0|   0    10k|1213B  497B|   0     0 |  23    36 |0.08 0.14 0.17| 181M 20.2M  131M 3097M
  3   1  95   0   0   0|   0  2048B|3627B 1873B|   0     0 |  44   166 |0.07 0.14 0.17| 205M 20.2M  131M 3073M
 11   4  85   0   0   0|   0  5461B| 384k   30k|   0     0 |  90  1198 |0.06 0.14 0.17| 186M 20.2M  131M 3092M
  1   1  98   0   0   1|   0  2731B| 517k   39k|   0     0 | 287  1411 |0.06 0.14 0.17| 186M 20.2M  131M 3092M
  1   1  98   0   0   1|   0  6827B| 502k   38k|   0     0 | 277  1377 |0.05 0.14 0.17| 186M 20.2M  131M 3092M
  0   0  98   0   0   1|   0  6827B| 501k   38k|   0     0 | 314  1369 |0.04 0.13 0.17| 186M 20.2M  131M 3092M
  1   1  98   0   0   0|   0  2731B| 501k   38k|   0     0 | 351  1355 |0.04 0.13 0.17| 186M 20.2M  131M 3093M
  0   0  98   0   0   1|   0  6144B| 507k   39k|   0     0 | 298  1386 |0.20 0.16 0.18| 186M 20.2M  131M 3092M
  1   1  98   0   0   1|   0  7509B| 510k   39k|   0     0 | 282  1431 |0.18 0.16 0.18| 186M 20.2M  131M 3092M
  1   0  99   0   0   0|   0  2731B| 499k   38k|   0     0 |  23  1342 |0.17 0.15 0.17| 186M 20.2M  131M 3092M
  1   1  98   0   0   0|   0  6827B| 508k   38k|   0     0 |  23  1359 |0.22 0.16 0.18| 186M 20.2M  131M 3092M
  1   1  98   0   0   0|   0  2731B| 510k   39k|   0     0 |  23  1360 |0.20 0.16 0.18| 186M 20.3M  132M 3092M
  1   1  98   0   0   0|   0  2731B| 281k   22k|   0     0 |  33   823 |0.19 0.16 0.18| 181M 20.3M  131M 3097M

------------------------------------------------------------------------
#client=4 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  93   4   0   0| 134k  906k|   0     0 |   0     0 | 116   656 |0.32 0.19 0.19| 181M 20.3M  131M 3097M
  0   0  99   1   0   0|   0  4779B|2405B  974B|   0     0 |  23    44 |0.29 0.18 0.18| 181M 20.3M  131M 3097M
 14   4  82   0   0   0|   0  6144B|3617B 1873B|   0     0 |  54   202 |0.27 0.18 0.18| 192M 20.3M  132M 3086M
  1   1  96   0   0   1|   0  4779B| 126k 1895k|   0     0 | 774  2129 |0.25 0.18 0.18| 186M 20.3M  132M 3092M
  1   1  97   0   0   1|   0  6827B| 139k 2072k|   0     0 | 492  2166 |0.23 0.17 0.18| 186M 20.3M  132M 3092M
  1   1  96   1   0   1|   0  2731B| 140k 2091k|   0     0 | 783  2080 |0.19 0.17 0.18| 186M 20.3M  132M 3092M
  1   1  96   0   0   1|   0  3413B| 137k 2038k|   0     0 | 797  2100 |0.18 0.16 0.18| 186M 20.3M  132M 3092M
  1   1  98   0   0   0|   0  2731B| 140k 2094k|   0     0 | 655  2008 |0.16 0.16 0.18| 186M 20.3M  132M 3092M
  1   1  97   0   0   1|   0    15k| 137k 2059k|   0     0 | 636  1934 |0.15 0.16 0.18| 186M 20.3M  132M 3092M
  1   1  97   0   0   0|   0  2731B| 131k 1949k|   0     0 |1031  1866 |0.14 0.16 0.17| 186M 20.4M  132M 3092M
  1   1  97   0   0   1|   0  2731B| 110k 1637k|   0     0 | 438  1633 |0.11 0.15 0.17| 186M 20.4M  132M 3092M
  1   1  97   0   0   1|   0  2731B| 129k 1919k|   0     0 | 487  2066 |0.11 0.15 0.17| 186M 20.4M  132M 3092M
  1   1  97   0   0   1|   0  2731B| 138k 2083k|   0     0 | 586  2115 |0.10 0.14 0.17| 186M 20.4M  132M 3092M
  1   1  98   0   0   0|   0  6827B|  56k  807k|   0     0 | 256   858 |0.09 0.14 0.17| 181M 20.4M  131M 3097M
  0   0 100   0   0   0|   0  8875B|2405B  974B|   0     0 |  24    47 |0.08 0.14 0.17| 181M 20.4M  131M 3097M
 13   4  82   0   0   0|   0  2048B|3678B 1906B|   0     0 |  57   233 |0.23 0.17 0.18| 191M 20.4M  132M 3087M
  2   2  95   0   0   1|   0  5461B|1831k  138k|   0     0 | 931  1931 |0.21 0.17 0.18| 186M 20.4M  132M 3092M
  1   1  98   0   0   1|   0  2731B|2029k  152k|   0     0 | 909  1953 |0.19 0.16 0.18| 186M 20.4M  132M 3092M
  1   1  97   0   0   1|   0  3413B|2047k  154k|   0     0 |1051  2028 |0.18 0.16 0.17| 186M 20.4M  132M 3092M
  1   1  96   0   0   1|   0  2731B|2047k  154k|   0     0 | 845  1984 |0.16 0.16 0.17| 186M 20.4M  132M 3092M
  1   1  96   0   0   1|   0  4096B|2088k  156k|   0     0 | 458  1956 |0.14 0.15 0.17| 186M 20.4M  132M 3092M
  1   1  97   1   0   0|   0    19k|2027k  152k|   0     0 |1018  1865 |0.13 0.15 0.17| 186M 20.5M  132M 3092M
  1   1  97   0   0   1|   0  2731B|2058k  154k|   0     0 | 834  1833 |0.12 0.14 0.17| 186M 20.5M  132M 3092M
  1   2  97   0   0   0|   0  2731B|2066k  155k|   0     0 | 721  2027 |0.11 0.14 0.17| 186M 20.5M  132M 3092M
  1   1  97   0   0   1|   0  2731B|2040k  153k|   0     0 | 776  1867 |0.10 0.14 0.17| 186M 20.5M  132M 3092M
  1   1  98   0   0   0|   0  2731B|1993k  149k|   0     0 |1105  1852 |0.08 0.14 0.17| 186M 20.5M  132M 3092M
  1   1  98   0   0   0|   0  3413B| 809k   61k|   0     0 | 425   831 |0.08 0.13 0.16| 182M 20.5M  132M 3096M

------------------------------------------------------------------------
#client=4 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  93   3   0   0| 119k  801k|   0     0 |   0     0 | 172   759 |0.06 0.13 0.16| 181M 20.5M  132M 3097M
  0   0 100   0   0   0|   0  2731B|1203B  487B|   0     0 |  22    38 |0.06 0.13 0.16| 181M 20.5M  132M 3097M
 15   3  82   0   0   0|   0  2731B|3617B 1873B|   0     0 |  54   212 |0.05 0.12 0.16| 266M 20.5M  132M 3012M
  4   2  92   2   0   1|   0  4779B| 105k 1546k|   0     0 | 225  1586 |0.05 0.12 0.16| 186M 20.5M  132M 3092M
  1   1  97   0   0   1|   0  7509B| 122k 1816k|   0     0 | 785  1881 |0.04 0.12 0.16| 186M 20.5M  132M 3092M
  1   1  97   0   0   1|   0  6827B| 117k 1740k|   0     0 | 635  1727 |0.12 0.13 0.16| 186M 20.6M  132M 3092M
  1   1  98   0   0   1|   0  8875B| 125k 1874k|   0     0 | 882  1942 |0.11 0.13 0.16| 186M 20.6M  132M 3092M
  1   1  98   0   0   1|   0  2731B| 136k 2033k|   0     0 | 326  2163 |0.10 0.13 0.16| 186M 20.6M  132M 3092M
  1   1  97   0   0   1|   0  5461B| 139k 2076k|   0     0 | 720  2064 |0.09 0.12 0.16| 186M 20.6M  132M 3092M
  1   1  97   0   0   1|   0  5461B| 135k 2008k|   0     0 | 740  1902 |0.08 0.12 0.16| 186M 20.6M  132M 3092M
  0   2  97   0   0   1|   0  3413B| 134k 2022k|   0     0 | 781  1816 |0.07 0.12 0.16| 186M 20.6M  132M 3092M
  1   1  98   0   0   1|   0  4779B| 136k 2024k|   0     0 | 234  1869 |0.06 0.11 0.16| 186M 20.6M  132M 3092M
  1   1  97   0   0   1|   0  4096B| 136k 2029k|   0     0 |  25  1844 |0.06 0.11 0.16| 186M 20.6M  132M 3092M
  1   1  98   0   0   0|   0  3413B|  60k  866k|   0     0 | 174   819 |0.05 0.11 0.15| 182M 20.6M  132M 3096M
  0   0 100   0   0   0|   0  8192B|2405B  974B|   0     0 |  25    43 |0.05 0.11 0.15| 181M 20.6M  132M 3096M
 14   4  82   0   0   0|   0  2731B|2716B 1854B|   0     0 |  59   224 |0.20 0.14 0.16| 196M 20.6M  132M 3082M
  2   2  95   0   0   1|   0  6827B|1914k  145k|   0     0 | 874  2135 |0.19 0.14 0.16| 186M 20.6M  132M 3091M
  1   1  97   0   0   1|   0  7509B|2024k  152k|   0     0 | 899  1916 |0.17 0.13 0.16| 186M 20.7M  132M 3091M
  2   1  97   0   0   1|   0  4096B|2077k  156k|   0     0 | 958  1913 |0.32 0.16 0.17| 186M 20.7M  132M 3092M
  1   1  97   0   0   1|   0  3413B|2041k  153k|   0     0 | 933  1987 |0.37 0.18 0.18| 185M 20.7M  132M 3092M
  1   1  97   0   0   1|   0  3413B|2064k  155k|   0     0 | 858  1997 |0.31 0.17 0.17| 185M 20.7M  132M 3092M
  1   1  96   0   0   1|   0  7509B|2067k  155k|   0     0 | 666  1948 |0.29 0.17 0.17| 186M 20.7M  132M 3092M
  1   1  96   1   0   1|   0  9557B|2051k  154k|   0     0 | 933  2036 |0.27 0.17 0.17| 186M 20.7M  132M 3092M
  1   1  96   0   0   1|   0  5461B|2081k  156k|   0     0 | 737  2019 |0.24 0.16 0.17| 186M 20.7M  132M 3092M
  1   1  96   0   0   1|   0  3413B|2038k  153k|   0     0 | 834  1981 |0.22 0.16 0.17| 186M 20.7M  132M 3092M
  1   1  96   1   0   1|   0  4096B|2039k  153k|   0     0 | 749  1896 |0.19 0.15 0.17| 186M 20.7M  132M 3092M
  1   0  98   0   0   1|   0  3413B| 769k   58k|   0     0 | 313   892 |0.17 0.15 0.17| 181M 20.7M  132M 3096M

------------------------------------------------------------------------
#client=4 #workers=32 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  93   3   0   0| 106k  718k|   0     0 |   0     0 | 210   839 |0.32 0.18 0.18| 181M 20.7M  132M 3096M
