
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   1  96   1   0   1|   0  2731B| 100k  746k|   0     0 |  18   834 |   0 0.02 0.05| 188M 19.3M  131M 1327M
  1   1  91   0   0   6|   0  2048B| 106k  781k|   0     0 |  18   848 |   0 0.02 0.05| 189M 19.3M  131M 1327M
  1   2  91   0   0   6|   0  2048B| 102k  748k|   0     0 |  18   813 |   0 0.02 0.05| 189M 19.3M  131M 1327M
  1   2  95   1   0   2|   0  2048B| 103k  755k|   0     0 |  18   779 |   0 0.02 0.05| 189M 19.3M  131M 1327M
  1   2  96   1   0   1|   0  2048B| 103k  766k|   0     0 |  18   794 |   0 0.02 0.05| 189M 19.3M  131M 1327M
  1   1  96   1   0   1|   0  4779B| 103k  753k|   0     0 |  18   783 |   0 0.02 0.05| 189M 19.3M  131M 1327M
  1   1  96   1   0   1|   0  2048B| 103k  756k|   0     0 |  18   804 |   0 0.02 0.05| 189M 19.3M  131M 1327M
  1   1  95   2   0   1|   0  2048B| 103k  757k|   0     0 |  18   782 |   0 0.02 0.05| 189M 19.3M  131M 1327M
  1   1  97   0   0   1|   0  2048B| 101k  743k|   0     0 |  18   755 |   0 0.02 0.05| 189M 19.3M  131M 1327M
  0   1  97   0   0   1|   0  2048B|  94k  691k|   0     0 |  18   721 |   0 0.02 0.05| 189M 19.3M  131M 1327M
  1   0  99   0   0   0|   0  3413B|3823B 1687B|   0     0 |  18    39 |   0 0.02 0.05| 189M 19.3M  131M 1327M

------------------------------------------------------------------------
#client=4 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
