
------------------------------------------------------------------------
#client=1 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  1   1  97   1   0   1|   0  6827B| 129k 1947k|   0     0 | 440  2217 |0.31 0.21 0.18| 227M 37.2M  840M 2326M
  1   2  97   0   0   0|   0  3413B| 128k 1911k|   0     0 | 716  2118 |0.29 0.21 0.18| 227M 37.2M  840M 2326M
  1   1  97   0   0   1|   0  2731B| 129k 1925k|   0     0 | 323  2098 |0.24 0.20 0.18| 227M 37.3M  840M 2325M
  1   1  97   0   0   0|   0  8875B| 126k 1882k|   0     0 | 707  2148 |0.22 0.20 0.18| 227M 37.3M  840M 2326M
  1   1  97   0   0   1|   0    11k| 126k 1884k|   0     0 | 814  2173 |0.29 0.21 0.18| 230M 37.3M  840M 2323M
  1   1  96   0   0   1|   0  2731B| 125k 1882k|   0     0 | 941  2157 |0.26 0.21 0.18| 228M 37.3M  840M 2325M
  1   1  97   0   0   1|   0  2731B| 124k 1851k|   0     0 | 379  2168 |0.24 0.20 0.18| 230M 37.3M  840M 2323M
  1   1  97   0   0   1|   0  2731B| 127k 1885k|   0     0 | 812  2211 |0.22 0.20 0.18| 227M 37.3M  840M 2326M
  1   1  94   2   0   1|   0  4779B| 129k 1923k|   0     0 | 645  2227 |0.19 0.19 0.18| 227M 37.3M  840M 2326M
  1   0  98   0   0   0|   0  2731B|  43k  613k|   0     0 | 415   774 |0.17 0.19 0.18| 223M 37.3M  840M 2330M
  0   0 100   0   0   0|   0  7509B|1203B  487B|   0     0 |  22    43 |0.16 0.19 0.18| 225M 37.3M  840M 2328M
 16   6  77   0   0   0|   0  4779B| 495k   39k|   0     0 | 188   957 |0.15 0.18 0.18| 227M 37.3M  840M 2326M
  1   1  97   0   0   1|   0  5461B|1861k  140k|   0     0 | 879  2192 |0.13 0.18 0.17| 227M 37.3M  840M 2326M
  1   1  96   0   0   1|   0  2731B|1880k  141k|   0     0 | 477  2243 |0.11 0.17 0.17| 228M 37.3M  840M 2325M
  1   1  96   0   0   1|   0  9557B|1916k  144k|   0     0 | 476  2276 |0.10 0.17 0.17| 227M 37.4M  840M 2325M
  1   1  97   0   0   1|   0  5461B|1897k  142k|   0     0 | 706  2162 |0.10 0.17 0.17| 228M 37.4M  840M 2325M
  1   1  96   0   0   1|   0  6144B|1871k  140k|   0     0 | 427  2246 |0.09 0.16 0.17| 228M 37.4M  840M 2325M
  1   1  97   0   0   1|   0  8192B|1839k  138k|   0     0 | 829  2204 |0.08 0.16 0.17| 228M 37.4M  840M 2325M
  1   1  98   0   0   1|   0  2731B|1900k  142k|   0     0 | 891  2216 |0.07 0.16 0.17| 228M 37.4M  840M 2325M
  2   1  96   0   0   1|   0  2731B|1877k  141k|   0     0 | 457  2188 |0.06 0.15 0.17| 228M 37.4M  840M 2325M
  1   1  96   0   0   1|   0  6827B|1897k  142k|   0     0 | 440  2234 |0.22 0.18 0.18| 228M 37.4M  840M 2325M
  1   1  96   0   0   1|   0  5461B|1890k  142k|   0     0 | 460  2214 |0.20 0.18 0.18| 227M 37.4M  840M 2325M
  0   0  99   0   0   0|   0  7509B| 102k 8745B|   0     0 |  54   218 |0.18 0.18 0.17| 224M 37.4M  840M 2328M

------------------------------------------------------------------------
#client=8 #workers=16 run=1 write-only then read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  93   3   0   0| 159k  553k|   0     0 |   0     0 | 153   553 |0.25 0.19 0.18| 222M 37.4M  840M 2331M
  0   0 100   0   0   0|   0  4779B|1203B  487B|   0     0 |  23    53 |0.23 0.19 0.18| 222M 37.4M  840M 2331M
 16   6  78   0   0   0|   0  2731B|  15k  164k|   0     0 | 162   461 |0.35 0.21 0.19| 227M 37.5M  840M 2326M
  1   2  94   1   0   1|   0    11k| 243k 3650k|   0     0 |1527  2935 |0.41 0.23 0.19| 227M 37.5M  840M 2326M
  2   2  95   0   0   1|   0  3413B| 242k 3644k|   0     0 |1636  2727 |0.37 0.22 0.19| 227M 37.5M  840M 2325M
  2   2  95   0   0   2|   0  4779B| 252k 3790k|   0     0 |1659  2902 |0.34 0.22 0.19| 227M 37.5M  840M 2326M
  2   2  95   0   0   2|   0  5461B| 248k 3751k|   0     0 |1444  2840 |0.40 0.23 0.19| 227M 37.5M  840M 2326M
  2   2  94   0   0   2|   0  7509B| 252k 3781k|   0     0 |1357  2890 |0.33 0.22 0.19| 227M 37.5M  840M 2326M
  2   2  93   1   0   2|   0  5461B| 253k 3807k|   0     0 |1600  2994 |0.31 0.22 0.19| 229M 37.5M  840M 2323M
  2   2  94   0   0   2|   0  7509B| 253k 3801k|   0     0 |1640  2963 |0.28 0.22 0.19| 227M 37.5M  840M 2326M
  2   2  94   0   0   2|   0  2731B| 251k 3785k|   0     0 |1652  2762 |0.26 0.21 0.19| 229M 37.5M  840M 2323M
  2   2  95   0   0   1|   0  3413B| 251k 3767k|   0     0 |1566  2961 |0.32 0.23 0.19| 227M 37.5M  840M 2326M
  2   2  94   0   0   2|   0  2731B| 253k 3802k|   0     0 |1506  2887 |0.27 0.22 0.19| 229M 37.5M  840M 2323M
